customer_id_old,source_id_old,customer_id_new,source_id_new
cus_KBQmrtPfniSPTE,,cus_KBQmrtPfniSPTE,
cus_KBSeAUZXbn87jN,pm_1NcskwKhuokAmGLh5KcNAjsD,cus_KBSeAUZXbn87jN,pm_1OrfJvCDacOypsYbQpkcafn7
cus_KBSeAUZXbn87jN,src_1KT6FLKhuokAmGLhVrDeg7ns,cus_KBSeAUZXbn87jN,src_1OrfJvCDacOypsYbB5BOEqs1
cus_KCExBBkdZepJlH,src_1JXqT5KhuokAmGLhs60CqDPa,cus_KCExBBkdZepJlH,src_1OrfJvCDacOypsYbLdypUD5q
cus_KCKUzucnCZhnge,pm_1NEwcMKhuokAmGLhbSsziLhM,cus_KCKUzucnCZhnge,pm_1OrfJuCDacOypsYb2fvCwa4e
cus_KCKVaeGurlivK9,pm_1NOQqPKhuokAmGLhMVegFGZM,cus_KCKVaeGurlivK9,pm_1OrfJuCDacOypsYboOBg2anQ
cus_KCKXw3PX4Gejtx,,cus_KCKXw3PX4Gejtx,
cus_KCKY6LG7IX0wg9,src_1LmdlGKhuokAmGLhvCmSYZAL,cus_KCKY6LG7IX0wg9,src_1OrfJtCDacOypsYbMBEuvhfw
cus_KCKhkw4vyrZmsv,src_1JXw2BKhuokAmGLhU3VROEsq,cus_KCKhkw4vyrZmsv,src_1OrfJtCDacOypsYbmPwUuc57
cus_KCKsaFaD0Ums4z,pm_1NQbgoKhuokAmGLhOPRpWJWP,cus_KCKsaFaD0Ums4z,pm_1OrfJsCDacOypsYbdOZ9Bim5
cus_KCKsaFaD0Ums4z,pm_1OUgyzKhuokAmGLhbTT6eFu3,cus_KCKsaFaD0Ums4z,pm_1OrfJsCDacOypsYb8U3EYjdM
cus_KCKsaFaD0Ums4z,src_1JXwChKhuokAmGLhfAkEdA15,cus_KCKsaFaD0Ums4z,src_1OrfJsCDacOypsYbZupCKOrW
cus_KCKsaFaD0Ums4z,src_1KgcJTKhuokAmGLhAi8aPspx,cus_KCKsaFaD0Ums4z,src_1OrfJsCDacOypsYbcAh65Xeg
cus_KCL1bqtKc2BPMw,src_1K61naKhuokAmGLhWPdIDF58,cus_KCL1bqtKc2BPMw,src_1OrfJrCDacOypsYbvUZdIkqm
cus_KCL35qQAeCAJba,src_1JXwNkKhuokAmGLhjY1F7leG,cus_KCL35qQAeCAJba,src_1OrfJqCDacOypsYbyGsn9KKc
